message,label,type_inappropriete
"Si tu ne me donnes pas ton numéro, je vais dire à tout le monde que tu es une tricheuse.",Inapproprié,Insulte
C'était super de travailler avec vous !,Approprié,
Tu n'es pas assez compétent pour ce job.,Inapproprié,Harcèlement
Personne ne t'aime.,Inapproprié,Critique non constructive
Tu es un loser.,Inapproprié,Insulte
Tu es un loser.,Inapproprié,Critique non constructive
Tu es un loser.,Inapproprié,Critique non constructive
T'es vraiment un idiot.,Inapproprié,Harcèlement
C'était super de travailler avec vous !,Approprié,
J'ai hâte de commencer ce projet.,Approprié,
Tu n'es pas assez compétent pour ce job.,Inapproprié,Harcèlement
Je ne comprends pas cette tâche.,Approprié,
"Peux-tu m'envoyer le rapport d'hier, s'il te plaît ?",Approprié,
"C'est une perte de temps, ne parle pas de ça.",Inapproprié,Harcèlement
Tu es un loser.,Inapproprié,Critique non constructive
Peux-tu me donner ton avis sur ce document ?,Approprié,
"Bonjour, comment ça va ?",Approprié,
J'espère que tu vas échouer dans ce projet.,Inapproprié,Harcèlement
Tu n'es pas assez compétent pour ce job.,Inapproprié,Critique non constructive
T'es vraiment un idiot.,Inapproprié,Insulte
Merci pour ton aide !,Approprié,
Tu es un loser.,Inapproprié,Harcèlement
Je ne comprends pas cette tâche.,Approprié,
J'espère que tu vas échouer dans ce projet.,Inapproprié,Harcèlement
Merci pour ton aide !,Approprié,
"Peux-tu m'envoyer le rapport d'hier, s'il te plaît ?",Approprié,
Tu n'es pas assez compétent pour ce job.,Inapproprié,Harcèlement
On se retrouve demain à 10h.,Approprié,
"C'est une perte de temps, ne parle pas de ça.",Inapproprié,Critique non constructive
"Peux-tu m'envoyer le rapport d'hier, s'il te plaît ?",Approprié,
"Peux-tu m'envoyer le rapport d'hier, s'il te plaît ?",Approprié,
"Bonjour, comment ça va ?",Approprié,
Tu es un loser.,Inapproprié,Critique non constructive
"Tu es vraiment moche, personne ne veut te parler.",Inapproprié,Critique non constructive
J'espère que tu vas échouer dans ce projet.,Inapproprié,Insulte
Peux-tu me donner ton avis sur ce document ?,Approprié,
Personne ne t'aime.,Inapproprié,Critique non constructive
J'espère que tu vas échouer dans ce projet.,Inapproprié,Insulte
Peux-tu me donner ton avis sur ce document ?,Approprié,
"Si tu ne me donnes pas ton numéro, je vais dire à tout le monde que tu es une tricheuse.",Inapproprié,Harcèlement
T'es vraiment un idiot.,Inapproprié,Insulte
"Tu es vraiment moche, personne ne veut te parler.",Inapproprié,Insulte
Personne ne t'aime.,Inapproprié,Harcèlement
"C'est une perte de temps, ne parle pas de ça.",Inapproprié,Insulte
Tu es un loser.,Inapproprié,Critique non constructive
Je ne comprends pas cette tâche.,Approprié,
"Si tu ne me donnes pas ton numéro, je vais dire à tout le monde que tu es une tricheuse.",Inapproprié,Harcèlement
"Peux-tu m'envoyer le rapport d'hier, s'il te plaît ?",Approprié,
"C'est nul, je déteste ce projet.",Inapproprié,Insulte
"Bravo pour ton travail, c'est impressionnant !",Approprié,
On se retrouve demain à 10h.,Approprié,
J'ai hâte de commencer ce projet.,Approprié,
On se retrouve demain à 10h.,Approprié,
"Si tu ne me donnes pas ton numéro, je vais dire à tout le monde que tu es une tricheuse.",Inapproprié,Critique non constructive
Tu es un loser.,Inapproprié,Critique non constructive
J'ai hâte de commencer ce projet.,Approprié,
Tu n'es pas assez compétent pour ce job.,Inapproprié,Harcèlement
"Bonjour, comment ça va ?",Approprié,
J'espère que tu vas bien !,Approprié,
J'ai hâte de commencer ce projet.,Approprié,
"Tu es vraiment moche, personne ne veut te parler.",Inapproprié,Insulte
"C'est nul, je déteste ce projet.",Inapproprié,Insulte
"Si tu ne me donnes pas ton numéro, je vais dire à tout le monde que tu es une tricheuse.",Inapproprié,Critique non constructive
"Tu es vraiment moche, personne ne veut te parler.",Inapproprié,Harcèlement
J'espère que tu vas échouer dans ce projet.,Inapproprié,Harcèlement
Tu es un loser.,Inapproprié,Critique non constructive
C'était super de travailler avec vous !,Approprié,
On se retrouve demain à 10h.,Approprié,
Personne ne t'aime.,Inapproprié,Critique non constructive
"Si tu ne me donnes pas ton numéro, je vais dire à tout le monde que tu es une tricheuse.",Inapproprié,Critique non constructive
"Si tu ne me donnes pas ton numéro, je vais dire à tout le monde que tu es une tricheuse.",Inapproprié,Insulte
T'es vraiment un idiot.,Inapproprié,Insulte
Personne ne t'aime.,Inapproprié,Critique non constructive
Peux-tu me donner ton avis sur ce document ?,Approprié,
"Bonjour, comment ça va ?",Approprié,
On se retrouve demain à 10h.,Approprié,
J'espère que tu vas échouer dans ce projet.,Inapproprié,Insulte
C'était super de travailler avec vous !,Approprié,
J'espère que tu vas bien !,Approprié,
"Tu es vraiment moche, personne ne veut te parler.",Inapproprié,Insulte
Tu es un loser.,Inapproprié,Harcèlement
"C'est nul, je déteste ce projet.",Inapproprié,Insulte
"Bonjour, comment ça va ?",Approprié,
Tu es un loser.,Inapproprié,Insulte
"C'est nul, je déteste ce projet.",Inapproprié,Critique non constructive
"Peux-tu m'envoyer le rapport d'hier, s'il te plaît ?",Approprié,
Merci pour ton aide !,Approprié,
C'était super de travailler avec vous !,Approprié,
J'espère que tu vas bien !,Approprié,
"C'est une perte de temps, ne parle pas de ça.",Inapproprié,Insulte
J'espère que tu vas échouer dans ce projet.,Inapproprié,Insulte
J'ai hâte de commencer ce projet.,Approprié,
J'espère que tu vas échouer dans ce projet.,Inapproprié,Critique non constructive
J'espère que tu vas bien !,Approprié,
Va te faire voir !,Inapproprié,Critique non constructive
Personne ne t'aime.,Inapproprié,Critique non constructive
J'espère que tu vas échouer dans ce projet.,Inapproprié,Insulte
"Peux-tu m'envoyer le rapport d'hier, s'il te plaît ?",Approprié,
Je ne comprends pas cette tâche.,Approprié,
J'espère que tu vas bien !,Approprié,
Tu n'es pas assez compétent pour ce job.,Inapproprié,Insulte
Peux-tu me donner ton avis sur ce document ?,Approprié,
"Bonjour, comment ça va ?",Approprié,
T'es vraiment un idiot.,Inapproprié,Harcèlement
Peux-tu me donner ton avis sur ce document ?,Approprié,
On se retrouve demain à 10h.,Approprié,
"Peux-tu m'envoyer le rapport d'hier, s'il te plaît ?",Approprié,
"Tu es vraiment moche, personne ne veut te parler.",Inapproprié,Insulte
J'espère que tu vas échouer dans ce projet.,Inapproprié,Insulte
Personne ne t'aime.,Inapproprié,Critique non constructive
Personne ne t'aime.,Inapproprié,Harcèlement
J'espère que tu vas échouer dans ce projet.,Inapproprié,Insulte
Je ne comprends pas cette tâche.,Approprié,
"Bonjour, comment ça va ?",Approprié,
Merci pour ton aide !,Approprié,
Va te faire voir !,Inapproprié,Insulte
Va te faire voir !,Inapproprié,Insulte
Merci pour ton aide !,Approprié,
J'ai hâte de commencer ce projet.,Approprié,
